Word 	 	 	 	 Count 
fighting	 	 	 	 1
figure	 	 	 	 1
filled	 	 	 	 3
fills	 	 	 	 1
find	 	 	 	 20
finding	 	 	 	 3
finds	 	 	 	 1
fine	 	 	 	 2
finger	 	 	 	 3
finish	 	 	 	 4
finished	 	 	 	 7
finishing	 	 	 	 1
fireplace	 	 	 	 1
first	 	 	 	 30
fish	 	 	 	 2
fishes	 	 	 	 1
fit	 	 	 	 1
five	 	 	 	 2
fix	 	 	 	 1
fixed	 	 	 	 1
flame	 	 	 	 1
flamingo	 	 	 	 2
flapper	 	 	 	 1
flashed	 	 	 	 1
flat	 	 	 	 1
flavour	 	 	 	 1
flew	 	 	 	 1
flinging	 	 	 	 1
flock	 	 	 	 1
flowers	 	 	 	 2
flown	 	 	 	 1
flung	 	 	 	 1
flurry	 	 	 	 1
flustered	 	 	 	 1
fluttered	 	 	 	 1
fly	 	 	 	 1
flying	 	 	 	 1
folded	 	 	 	 1
folding	 	 	 	 1
follow	 	 	 	 1
followed	 	 	 	 8
follows	 	 	 	 2
fond	 	 	 	 3
foolish	 	 	 	 1
foot	 	 	 	 5
footman	 	 	 	 7
footsteps	 	 	 	 1
for	 	 	 	 135
forehead	 	 	 	 2
forepaws	 	 	 	 1
forget	 	 	 	 2
forgetting	 	 	 	 3
forgot	 	 	 	 2
forgotten	 	 	 	 6
fork	 	 	 	 1
form	 	 	 	 1
fortunately	 	 	 	 1
forwards	 	 	 	 1
found	 	 	 	 28
four	 	 	 	 6
free	 	 	 	 2
french	 	 	 	 3
friend	 	 	 	 2
friends	 	 	 	 2
fright	 	 	 	 1
frighten	 	 	 	 1
frightened	 	 	 	 7
frog	 	 	 	 1
from	 	 	 	 32
front	 	 	 	 2
frontispiece	 	 	 	 1
frowning	 	 	 	 3
fulcrum	 	 	 	 1
full	 	 	 	 6
fumbled	 	 	 	 1
fun	 	 	 	 1
funny	 	 	 	 3
fur	 	 	 	 2
furious	 	 	 	 1
furrow	 	 	 	 1
further	 	 	 	 1
gained	 	 	 	 1
gallons	 	 	 	 1
game	 	 	 	 6
games	 	 	 	 1
garden	 	 	 	 4
gardeners	 	 	 	 4
gather	 	 	 	 1
gave	 	 	 	 15
gay	 	 	 	 1
gazing	 	 	 	 1
general	 	 	 	 3
generally	 	 	 	 5
gently	 	 	 	 3
get	 	 	 	 43
getting	 	 	 	 21
girl	 	 	 	 3
girls	 	 	 	 3
give	 	 	 	 9
given	 	 	 	 1
giving	 	 	 	 2
glad	 	 	 	 11
glanced	 	 	 	 1
glaring	 	 	 	 1
glass	 	 	 	 4
globe	 	 	 	 1
gloves	 	 	 	 5
go	 	 	 	 39
goes	 	 	 	 7
going	 	 	 	 26
golden	 	 	 	 7
goldfish	 	 	 	 2
gone	 	 	 	 9
good	 	 	 	 23
got	 	 	 	 45
graceful	 	 	 	 1
grand	 	 	 	 2
grant	 	 	 	 1
grass	 	 	 	 2
grave	 	 	 	 3
grazed	 	 	 	 1
great	 	 	 	 39
green	 	 	 	 3
grew	 	 	 	 1
grey	 	 	 	 1
grin	 	 	 	 1
grinned	 	 	 	 2
grinning	 	 	 	 1
grins	 	 	 	 1
ground	 	 	 	 2
grow	 	 	 	 13
growing	 	 	 	 6
growl	 	 	 	 1
growled	 	 	 	 1
growls	 	 	 	 1
grown	 	 	 	 7
grunted	 	 	 	 3
gryphon	 	 	 	 22
guard	 	 	 	 1
guess	 	 	 	 2
guessed	 	 	 	 3
guests	 	 	 	 2
had	 	 	 	 176
hair	 	 	 	 5
half	 	 	 	 21
hall	 	 	 	 1
hand	 	 	 	 11
handed	 	 	 	 3
hands	 	 	 	 6
handsome	 	 	 	 1
hanging	 	 	 	 3
happen	 	 	 	 5
happened	 	 	 	 3
happens	 	 	 	 2
happy	 	 	 	 1
hard	 	 	 	 8
hardly	 	 	 	 12
hare	 	 	 	 16
harm	 	 	 	 1
has	 	 	 	 7
hastily	 	 	 	 7
hatching	 	 	 	 1
hate	 	 	 	 1
hated	 	 	 	 1
hatter	 	 	 	 24
hatters	 	 	 	 1
have	 	 	 	 77
having	 	 	 	 10
he	 	 	 	 111
head	 	 	 	 29
heads	 	 	 	 8
heap	 	 	 	 1
hear	 	 	 	 14
heard	 	 	 	 29
hearing	 	 	 	 3
heart	 	 	 	 2
hearth	 	 	 	 1
hearts	 	 	 	 1
heavy	 	 	 	 2
hedgehog	 	 	 	 5
hedgehogs	 	 	 	 1
heels	 	 	 	 1
height	 	 	 	 4
held	 	 	 	 4
help	 	 	 	 9
helped	 	 	 	 1
helpless	 	 	 	 1
her	 	 	 	 208
here	 	 	 	 19
hers	 	 	 	 3
herself	 	 	 	 40
hid	 	 	 	 1
hide	 	 	 	 1
high	 	 	 	 4
highest	 	 	 	 1
him	 	 	 	 23
himself	 	 	 	 4
hint	 	 	 	 1
his	 	 	 	 95
hiss	 	 	 	 1
histories	 	 	 	 1
history	 	 	 	 1
hit	 	 	 	 2
hoarse	 	 	 	 2
hoarsely	 	 	 	 1
hold	 	 	 	 6
holding	 	 	 	 2
hollow	 	 	 	 1
home	 	 	 	 1
honest	 	 	 	 1
hookah	 	 	 	 4
hope	 	 	 	 3
hopeful	 	 	 	 1
hopeless	 	 	 	 1
hoping	 	 	 	 3
hot	 	 	 	 4
hour	 	 	 	 2
hours	 	 	 	 3
house	 	 	 	 8
how	 	 	 	 46
howled	 	 	 	 1
howling	 	 	 	 3
humble	 	 	 	 1
hundred	 	 	 	 1
hung	 	 	 	 1
hungry	 	 	 	 2
